ID,Age,Income,Sex,Marital status,Education,Occupation,Settlement size,Segment,SegmentLabel
100000001,67,124670,0,0,2,1,2,0,well-off
100000002,22,150773,1,1,1,1,2,3,standard
100000003,49,89210,0,0,1,0,0,1,fewer-opportunities
100000004,45,171565,0,0,1,1,1,2,career-focused
100000005,53,149031,0,0,1,1,1,2,career-focused
100000006,35,144848,0,0,1,0,0,1,fewer-opportunities
100000007,53,156495,0,0,1,1,1,2,career-focused
100000008,35,193621,0,0,1,2,1,2,career-focused
100000009,61,151591,0,1,2,0,0,0,well-off
100000010,28,174646,0,1,1,2,0,2,career-focused
100000011,25,108469,1,1,1,1,0,3,standard
100000012,24,127596,1,1,1,1,0,3,standard
100000013,22,108687,1,1,1,1,2,3,standard
100000014,60,89374,0,0,2,0,0,1,fewer-opportunities
100000015,28,102899,1,1,1,1,1,3,standard
100000016,32,88428,1,1,1,0,0,3,standard
100000017,53,125550,0,0,1,1,0,1,fewer-opportunities
100000018,25,157434,0,0,0,1,2,2,career-focused
100000019,44,261952,1,1,2,2,2,0,well-off
100000020,31,144657,0,0,0,1,1,2,career-focused
100000021,48,118777,0,0,1,1,1,2,career-focused
100000022,44,147511,0,0,1,1,1,2,career-focused
100000023,48,89804,0,0,1,0,0,1,fewer-opportunities
100000024,44,134918,0,0,1,1,2,2,career-focused
100000025,26,103667,0,1,1,1,2,2,career-focused
100000026,36,71909,0,0,1,0,0,1,fewer-opportunities
100000027,39,68264,0,1,1,0,0,1,fewer-opportunities
100000028,42,163025,1,1,2,1,1,0,well-off
100000029,34,119307,0,0,1,1,1,2,career-focused
100000030,63,175882,0,0,2,1,0,0,well-off
100000031,36,159646,0,1,1,1,1,2,career-focused
100000032,27,120131,0,0,0,1,1,2,career-focused
100000033,30,162745,0,0,0,1,2,2,career-focused
100000034,57,87605,0,0,2,0,0,1,fewer-opportunities
100000035,33,155569,1,1,1,2,1,3,standard
100000036,25,104505,0,0,0,0,0,1,fewer-opportunities
100000037,31,143385,0,0,0,1,2,2,career-focused
100000038,37,127676,0,0,1,1,1,2,career-focused
100000039,37,119276,0,0,1,1,1,2,career-focused
100000040,24,92542,0,0,0,1,1,2,career-focused
100000041,30,163329,0,0,0,2,1,2,career-focused
100000042,26,130921,0,1,1,1,0,3,standard
100000043,44,133658,0,0,1,0,0,1,fewer-opportunities
100000044,24,155104,0,1,1,1,1,2,career-focused
100000045,58,142335,1,1,2,0,1,0,well-off
100000046,35,138387,1,1,1,2,1,3,standard
100000047,39,140182,0,0,1,1,0,1,fewer-opportunities
100000048,23,65421,1,1,1,0,0,3,standard
100000049,39,130500,0,0,1,0,0,1,fewer-opportunities
100000050,28,122831,1,1,1,1,0,3,standard
100000051,29,84531,0,0,0,0,0,1,fewer-opportunities
100000052,30,180196,0,0,0,2,2,2,career-focused
100000053,25,92058,0,0,0,1,2,2,career-focused
100000054,31,117158,0,0,0,1,0,1,fewer-opportunities
100000055,57,135830,0,0,2,1,1,0,well-off
100000056,26,58258,0,0,0,0,0,1,fewer-opportunities
100000057,52,202575,0,0,1,2,2,2,career-focused
100000058,31,183657,1,1,1,1,1,3,standard
100000059,23,152267,1,1,1,2,1,3,standard
100000060,23,115240,1,1,1,0,0,3,standard
100000061,27,106955,0,1,1,1,2,2,career-focused
100000062,50,123641,0,0,1,1,1,2,career-focused
100000063,61,166410,0,0,2,2,1,0,well-off
100000064,25,227385,0,0,0,1,2,2,career-focused
100000065,26,118372,1,1,1,1,1,3,standard
100000066,48,148115,0,0,1,1,1,2,career-focused
100000067,29,111069,1,1,1,1,0,3,standard
100000068,22,139780,0,1,1,1,0,3,standard
100000069,37,106978,0,0,1,1,2,2,career-focused
100000070,25,110019,1,1,1,1,2,3,standard
100000071,30,169102,1,1,1,1,1,3,standard
100000072,46,73703,0,0,1,0,0,1,fewer-opportunities
100000073,51,141858,0,0,1,2,2,2,career-focused
100000074,41,135959,1,1,2,0,0,3,standard
100000075,40,140888,0,0,1,2,2,2,career-focused
100000076,66,157299,0,0,2,2,2,0,well-off
100000077,34,125187,0,0,1,1,1,2,career-focused
100000078,51,155486,0,0,1,1,2,2,career-focused
100000079,39,151697,0,0,1,0,0,1,fewer-opportunities
100000080,22,126400,0,1,1,1,1,3,standard
100000081,44,159246,1,1,2,1,2,0,well-off
100000082,47,136138,0,0,1,1,1,2,career-focused
100000083,24,84792,1,1,1,0,0,3,standard
100000084,58,100210,1,1,2,0,0,0,well-off
100000085,52,93706,0,0,1,0,0,1,fewer-opportunities
100000086,29,133783,1,1,1,2,1,3,standard
100000087,27,110064,1,1,1,1,2,3,standard
100000088,47,241068,0,0,1,1,1,2,career-focused
100000089,30,149022,0,0,0,2,2,2,career-focused
100000090,28,92973,0,0,0,1,2,2,career-focused
100000091,56,110605,0,0,1,1,1,2,career-focused
100000092,54,116604,0,0,1,1,1,2,career-focused
100000093,33,71070,1,1,1,0,0,3,standard
100000094,20,128678,0,0,0,1,1,2,career-focused
100000095,54,165230,0,0,1,1,2,2,career-focused
100000096,58,268340,0,0,2,1,1,0,well-off
100000097,61,135070,1,1,2,1,1,0,well-off
100000098,34,134794,0,0,1,1,2,2,career-focused
100000099,36,120153,0,0,1,1,1,2,career-focused
100000100,36,195465,0,0,1,2,2,2,career-focused
100000101,41,93372,0,1,1,0,0,1,fewer-opportunities
100000102,24,110446,0,0,0,1,0,1,fewer-opportunities
100000103,24,95186,1,1,1,1,1,3,standard
100000104,35,115343,0,0,1,1,1,2,career-focused
100000105,26,107276,0,1,1,1,1,3,standard
100000106,39,244716,0,0,1,2,2,2,career-focused
100000107,39,183108,0,0,1,2,2,2,career-focused
100000108,32,152876,0,0,0,1,2,2,career-focused
100000109,30,165147,1,1,1,1,0,3,standard
100000110,35,140520,0,1,1,1,0,3,standard
100000111,31,124203,0,1,1,1,1,2,career-focused
100000112,23,107205,1,1,1,1,1,3,standard
100000113,28,121432,0,0,0,0,2,2,career-focused
100000114,25,162445,1,1,1,1,0,3,standard
100000115,35,134112,0,1,1,1,1,2,career-focused
100000116,47,131842,0,0,1,1,1,2,career-focused
100000117,30,189896,1,1,1,2,0,3,standard
100000118,27,109099,1,1,1,1,2,3,standard
100000119,23,153539,1,1,1,1,1,3,standard
100000120,36,180495,0,1,1,2,1,2,career-focused
100000121,25,104653,1,1,1,1,2,3,standard
100000122,41,166933,1,1,2,2,2,0,well-off
100000123,24,66118,0,0,0,0,0,1,fewer-opportunities
100000124,63,135754,0,0,2,1,0,0,well-off
100000125,27,116103,1,1,1,1,2,3,standard
100000126,30,104293,0,0,0,1,1,2,career-focused
100000127,40,71702,0,1,1,0,0,1,fewer-opportunities
100000128,30,99066,0,0,0,1,2,2,career-focused
100000129,34,143979,0,0,1,2,2,2,career-focused
100000130,29,123818,1,1,1,1,0,3,standard
100000131,24,176714,1,1,1,1,2,3,standard
100000132,29,149249,0,0,0,1,2,2,career-focused
100000133,27,77535,0,0,0,0,0,1,fewer-opportunities
100000134,47,116540,0,0,1,1,1,2,career-focused
100000135,21,194728,1,1,1,1,0,3,standard
100000136,38,109311,1,1,1,1,2,3,standard
100000137,27,204723,0,0,0,1,2,2,career-focused
100000138,66,126003,0,0,2,0,0,0,well-off
100000139,35,123109,0,0,1,1,1,2,career-focused
100000140,44,108251,1,1,2,0,0,3,standard
100000141,27,89908,0,1,1,0,0,3,standard
100000142,30,176057,1,1,1,2,1,3,standard
100000143,27,144332,0,0,0,2,2,2,career-focused
100000144,22,101185,0,0,0,1,1,2,career-focused
100000145,23,107406,1,1,1,1,2,3,standard
100000146,30,140665,0,0,0,1,1,2,career-focused
100000147,39,106461,1,1,2,1,0,3,standard
100000148,51,127825,1,1,2,1,0,0,well-off
100000149,28,133898,0,0,0,1,1,2,career-focused
100000150,46,152383,0,0,1,1,2,2,career-focused
100000151,42,119926,0,0,1,1,0,1,fewer-opportunities
100000152,38,108784,0,0,1,1,2,2,career-focused
100000153,24,153286,0,0,0,1,1,2,career-focused
100000154,29,214204,1,1,1,1,2,2,career-focused
100000155,36,208101,0,0,1,2,2,2,career-focused
100000156,20,95355,1,1,1,1,1,3,standard
100000157,48,124156,0,0,1,1,1,2,career-focused
100000158,45,72215,0,1,2,0,0,3,standard
100000159,38,146529,0,0,1,1,2,2,career-focused
100000160,34,75343,0,0,1,0,0,1,fewer-opportunities
100000161,36,129789,0,0,1,1,1,2,career-focused
100000162,30,101153,1,1,1,1,1,3,standard
100000163,36,127833,0,0,1,1,2,2,career-focused
100000164,70,224998,0,0,2,2,2,0,well-off
100000165,36,124445,0,0,1,1,2,2,career-focused
100000166,32,141116,0,0,0,1,1,2,career-focused
100000167,33,104276,1,1,1,1,2,3,standard
100000168,20,147687,1,1,1,1,2,3,standard
100000169,25,125168,1,1,1,1,1,3,standard
100000170,31,115369,0,1,1,1,2,2,career-focused
100000171,33,95445,0,0,1,1,0,1,fewer-opportunities
100000172,26,95159,1,1,1,1,1,3,standard
100000173,34,153031,1,1,1,2,2,2,career-focused
100000174,33,108899,0,0,1,1,0,1,fewer-opportunities
100000175,26,113515,0,0,0,1,1,2,career-focused
100000176,53,211229,1,1,2,2,0,0,well-off
100000177,42,121307,0,1,2,1,0,0,well-off
100000178,52,131727,0,0,1,1,2,2,career-focused
100000179,31,133574,0,0,0,2,1,2,career-focused
100000180,65,117334,0,0,2,1,0,0,well-off
100000181,28,177291,0,1,1,1,2,2,career-focused
100000182,30,168763,0,1,1,2,1,2,career-focused
100000183,40,77720,0,0,1,0,0,1,fewer-opportunities
100000184,50,176645,0,0,1,1,2,2,career-focused
100000185,36,106205,0,0,1,1,1,2,career-focused
100000186,31,97785,0,0,0,1,1,2,career-focused
100000187,74,214364,1,1,3,2,1,0,well-off
100000188,68,74525,0,0,2,0,0,1,fewer-opportunities
100000189,20,98988,0,1,1,1,0,3,standard
100000190,33,133561,1,1,1,1,1,3,standard
100000191,54,217651,0,0,1,2,2,2,career-focused
100000192,34,116525,0,0,1,0,0,1,fewer-opportunities
100000193,36,135302,0,0,1,1,2,2,career-focused
100000194,29,106434,0,1,1,1,1,3,standard
100000195,21,128350,0,0,0,1,2,2,career-focused
100000196,34,147626,1,1,1,2,2,2,career-focused
100000197,28,102697,1,1,1,1,0,3,standard
100000198,27,120262,1,1,1,1,0,3,standard
100000199,36,124214,0,0,1,1,2,2,career-focused
100000200,40,175223,0,1,1,2,1,2,career-focused
100000201,52,137467,0,0,1,1,0,1,fewer-opportunities
100000202,27,65815,0,1,1,0,0,3,standard
100000203,26,129864,0,0,0,1,1,2,career-focused
100000204,21,88475,0,1,1,1,1,3,standard
100000205,38,74666,0,0,1,0,0,1,fewer-opportunities
100000206,38,222294,0,0,1,2,2,2,career-focused
100000207,43,112878,0,0,1,1,0,1,fewer-opportunities
100000208,26,103411,0,0,0,1,2,2,career-focused
100000209,21,112868,0,1,1,0,0,3,standard
100000210,55,157940,0,0,1,1,2,2,career-focused
100000211,33,115835,0,0,1,1,2,2,career-focused
100000212,45,109807,1,1,2,0,0,3,standard
100000213,50,150699,0,0,1,1,1,2,career-focused
100000214,66,178967,0,0,2,2,0,0,well-off
100000215,51,132767,0,0,1,1,0,1,fewer-opportunities
100000216,39,86152,1,1,2,0,0,3,standard
100000217,31,114528,0,0,0,1,2,2,career-focused
100000218,23,133912,0,0,0,1,1,2,career-focused
100000219,24,81210,0,1,1,0,0,3,standard
100000220,64,131242,1,1,3,1,0,0,well-off
100000221,26,68804,0,1,1,0,0,3,standard
100000222,23,96961,1,1,1,1,1,3,standard
100000223,30,90719,0,0,0,1,2,2,career-focused
100000224,32,114116,0,0,0,1,1,2,career-focused
100000225,30,128639,0,0,0,1,1,2,career-focused
100000226,27,106623,0,0,0,1,1,2,career-focused
100000227,27,236264,0,0,0,1,1,2,career-focused
100000228,53,207783,0,0,1,2,1,2,career-focused
100000229,22,91739,0,0,0,1,1,2,career-focused
100000230,22,107780,0,0,0,1,2,2,career-focused
100000231,26,139157,0,0,0,1,2,2,career-focused
100000232,51,121751,0,0,1,0,0,1,fewer-opportunities
100000233,35,121974,0,0,1,1,0,1,fewer-opportunities
100000234,25,70320,0,1,1,0,0,3,standard
100000235,42,78327,0,0,1,0,0,1,fewer-opportunities
100000236,30,131433,0,0,0,2,0,2,career-focused
100000237,23,167076,0,0,0,0,2,2,career-focused
100000238,61,130788,0,1,2,0,0,0,well-off
100000239,35,107408,1,1,1,1,1,3,standard
100000240,39,115323,0,0,1,1,1,2,career-focused
100000241,29,99012,1,1,1,1,0,3,standard
100000242,51,115996,0,0,1,1,1,2,career-focused
100000243,24,123353,0,0,0,1,1,2,career-focused
100000244,27,100008,1,1,1,1,0,3,standard
100000245,35,125105,1,1,1,0,0,3,standard
100000246,25,92020,0,0,0,1,2,2,career-focused
100000247,52,108365,0,0,1,1,2,2,career-focused
100000248,35,112979,0,0,1,1,0,1,fewer-opportunities
100000249,26,117221,0,0,0,1,1,2,career-focused
100000250,22,88800,1,1,1,1,2,3,standard
100000251,39,115099,1,1,2,0,0,3,standard
100000252,46,113399,1,1,2,0,0,3,standard
100000253,24,115879,1,1,1,1,1,3,standard
100000254,35,141270,0,0,1,1,2,2,career-focused
100000255,24,107633,0,0,0,1,1,2,career-focused
100000256,27,131751,0,0,0,0,0,1,fewer-opportunities
100000257,35,83687,0,0,1,0,0,1,fewer-opportunities
100000258,29,106828,0,1,1,1,2,2,career-focused
100000259,23,135537,1,1,1,1,1,3,standard
100000260,57,107142,1,1,2,0,0,0,well-off
100000261,27,97446,0,0,0,1,1,2,career-focused
100000262,55,126357,1,1,2,1,2,0,well-off
100000263,36,169617,0,0,1,2,1,2,career-focused
100000264,57,108945,1,1,2,0,0,0,well-off
100000265,32,67345,0,0,0,0,0,1,fewer-opportunities
100000266,37,106215,0,0,1,1,0,1,fewer-opportunities
100000267,36,149237,0,0,1,1,0,1,fewer-opportunities
100000268,38,112124,1,1,1,1,0,3,standard
100000269,45,215150,0,1,2,2,2,0,well-off
100000270,25,89534,0,0,0,1,1,2,career-focused
100000271,32,111082,0,0,0,1,2,2,career-focused
100000272,37,137069,1,1,1,1,1,3,standard
100000273,36,244541,0,0,1,2,2,2,career-focused
100000274,28,120712,0,0,0,1,1,2,career-focused
100000275,34,175367,0,1,1,0,0,3,standard
100000276,32,111418,0,0,0,1,1,2,career-focused
100000277,26,110913,1,1,1,1,0,3,standard
100000278,49,84267,0,1,2,0,0,3,standard
100000279,32,136886,1,1,1,1,2,3,standard
100000280,29,144884,0,0,0,2,2,2,career-focused
100000281,23,151180,0,0,0,1,1,2,career-focused
100000282,50,114997,0,0,1,1,1,2,career-focused
100000283,49,100961,0,0,1,0,0,1,fewer-opportunities
100000284,63,124849,0,0,2,1,2,0,well-off
100000285,37,152308,0,1,1,1,2,2,career-focused
100000286,35,167945,1,1,1,0,1,3,standard
100000287,26,126706,0,0,0,1,2,2,career-focused
100000288,31,210017,0,0,0,2,2,2,career-focused
100000289,49,125665,1,1,2,1,1,0,well-off
100000290,48,111184,0,1,2,1,1,0,well-off
100000291,26,94134,0,1,1,1,0,3,standard
100000292,28,214620,0,1,1,2,1,2,career-focused
100000293,44,193816,1,1,2,2,1,0,well-off
100000294,56,168714,0,0,1,1,1,2,career-focused
100000295,46,202997,0,1,2,2,1,0,well-off
100000296,26,192451,1,1,1,1,2,3,standard
100000297,20,127928,1,1,1,1,2,3,standard
100000298,45,78253,0,0,1,0,0,1,fewer-opportunities
100000299,43,118446,0,0,1,1,1,2,career-focused
100000300,32,161379,0,0,0,1,2,2,career-focused
100000301,54,56622,1,1,2,0,0,3,standard
100000302,42,146117,1,1,2,1,1,0,well-off
100000303,37,90418,0,0,1,0,0,1,fewer-opportunities
100000304,49,109053,0,0,1,1,0,1,fewer-opportunities
100000305,44,219319,0,0,1,1,0,2,career-focused
100000306,33,144701,0,1,1,1,1,2,career-focused
100000307,24,102425,1,1,1,0,0,3,standard
100000308,33,79867,0,1,1,0,0,3,standard
100000309,24,107114,1,1,1,1,2,3,standard
100000310,22,62263,0,1,1,0,0,3,standard
100000311,40,92567,0,0,1,0,0,1,fewer-opportunities
100000312,25,146349,0,0,0,1,0,1,fewer-opportunities
100000313,26,141825,1,1,1,1,1,3,standard
100000314,25,68582,0,1,1,0,0,3,standard
100000315,29,85476,0,0,0,0,0,1,fewer-opportunities
100000316,31,111091,0,0,0,1,2,2,career-focused
100000317,38,67110,0,0,1,0,0,1,fewer-opportunities
100000318,48,126154,1,1,2,0,0,3,standard
100000319,32,92257,0,0,0,1,2,2,career-focused
100000320,27,93605,1,1,1,0,0,3,standard
100000321,28,165190,0,1,1,2,0,2,career-focused
100000322,32,107195,0,1,1,1,0,3,standard
100000323,34,145059,0,0,1,2,0,2,career-focused
100000324,28,148363,0,0,0,1,0,1,fewer-opportunities
100000325,36,105681,1,1,1,1,2,3,standard
100000326,39,93732,0,0,1,0,0,1,fewer-opportunities
100000327,49,154778,0,0,1,1,2,2,career-focused
100000328,34,149356,1,1,1,1,2,3,standard
100000329,31,145670,0,0,0,1,1,2,career-focused
100000330,28,101589,0,0,0,1,2,2,career-focused
100000331,75,213333,0,0,2,2,1,0,well-off
100000332,30,122420,1,1,1,1,0,3,standard
100000333,24,209856,1,1,1,2,1,2,career-focused
100000334,24,181003,1,1,1,0,0,3,standard
100000335,23,117804,0,0,0,1,1,2,career-focused
100000336,44,160650,0,1,2,2,1,0,well-off
100000337,23,84611,1,1,1,0,0,3,standard
100000338,24,98479,1,1,1,1,2,3,standard
100000339,28,122359,0,0,0,1,2,2,career-focused
100000340,31,81394,0,1,1,0,0,3,standard
100000341,24,150372,1,1,1,1,1,3,standard
100000342,26,92385,1,1,1,0,0,3,standard
100000343,25,149851,0,1,1,1,2,2,career-focused
100000344,33,167939,0,0,1,2,1,2,career-focused
100000345,37,115426,0,0,1,0,0,1,fewer-opportunities
100000346,43,85402,1,1,2,0,0,3,standard
100000347,23,95815,0,0,0,1,2,2,career-focused
100000348,23,97518,1,1,1,0,0,3,standard
100000349,34,87355,0,0,1,0,0,1,fewer-opportunities
100000350,32,145933,0,0,0,1,1,2,career-focused
100000351,23,97307,1,1,1,1,0,3,standard
100000352,29,108434,1,1,1,1,2,3,standard
100000353,38,151312,0,0,1,2,1,2,career-focused
100000354,28,141847,0,0,0,1,1,2,career-focused
100000355,46,130675,0,0,1,1,2,2,career-focused
100000356,23,69309,0,0,0,0,0,1,fewer-opportunities
100000357,49,121466,0,0,1,1,2,2,career-focused
100000358,26,153586,0,0,0,2,2,2,career-focused
100000359,28,92849,0,1,1,1,0,3,standard
100000360,23,108539,1,1,1,1,2,3,standard
100000361,61,129556,0,0,2,1,2,0,well-off
100000362,37,170146,0,0,1,2,0,2,career-focused
100000363,36,135383,1,1,1,1,1,3,standard
100000364,21,96769,0,1,1,1,2,2,career-focused
100000365,25,43684,0,0,0,0,0,1,fewer-opportunities
100000366,36,103521,0,0,1,1,0,1,fewer-opportunities
100000367,27,118499,0,0,0,1,1,2,career-focused
100000368,22,119684,1,1,1,1,2,3,standard
100000369,42,126586,0,0,1,1,1,2,career-focused
100000370,40,136812,1,1,2,1,2,0,well-off
100000371,36,118277,0,0,1,1,1,2,career-focused
100000372,33,144597,0,0,1,1,1,2,career-focused
100000373,23,106043,1,1,1,1,0,3,standard
100000374,63,272314,0,0,2,2,2,0,well-off
100000375,60,309364,1,1,2,2,2,0,well-off
100000376,37,170386,1,1,1,1,1,3,standard
100000377,34,112458,0,1,1,1,0,3,standard
100000378,36,96840,0,0,1,1,1,2,career-focused
100000379,57,281923,0,0,2,2,1,0,well-off
100000380,52,95551,1,1,2,0,0,3,standard
100000381,39,112347,0,0,1,1,2,2,career-focused
100000382,38,260977,1,1,1,2,2,0,well-off
100000383,25,99354,1,1,1,1,0,3,standard
100000384,26,111509,0,0,0,1,2,2,career-focused
100000385,26,105252,0,0,0,0,0,1,fewer-opportunities
100000386,25,108522,1,1,1,1,0,3,standard
100000387,21,94655,1,1,1,1,1,3,standard
100000388,40,201699,0,0,1,2,1,2,career-focused
100000389,27,139868,0,0,0,1,2,2,career-focused
100000390,27,102543,1,1,1,1,1,3,standard
100000391,30,134467,0,1,1,2,2,2,career-focused
100000392,19,111187,1,1,1,0,0,3,standard
100000393,39,152302,0,0,1,2,1,2,career-focused
100000394,31,110610,1,1,1,1,2,3,standard
100000395,31,137827,0,0,0,2,2,2,career-focused
100000396,32,220923,0,0,0,1,2,2,career-focused
100000397,55,165717,1,1,2,2,2,0,well-off
100000398,46,122299,0,1,2,1,0,0,well-off
100000399,46,120499,0,1,2,1,0,0,well-off
100000400,43,126449,1,1,2,0,0,3,standard
100000401,39,108315,0,1,1,1,2,2,career-focused
100000402,28,112515,0,1,1,1,1,3,standard
100000403,27,164559,0,0,0,1,1,2,career-focused
100000404,27,59238,0,0,0,0,0,1,fewer-opportunities
100000405,43,131133,0,0,1,1,0,1,fewer-opportunities
100000406,22,109188,0,1,1,1,0,3,standard
100000407,43,115393,0,0,1,1,1,2,career-focused
100000408,27,94711,0,1,1,1,2,2,career-focused
100000409,26,171860,0,1,1,2,0,2,career-focused
100000410,28,139414,0,1,1,1,2,2,career-focused
100000411,20,110931,1,1,1,1,1,3,standard
100000412,35,187549,0,0,1,2,2,2,career-focused
100000413,42,145508,0,0,1,2,0,2,career-focused
100000414,40,104240,0,0,1,0,0,1,fewer-opportunities
100000415,35,108272,1,1,1,1,1,3,standard
100000416,35,144004,0,0,1,1,2,2,career-focused
100000417,33,81083,0,0,1,0,0,1,fewer-opportunities
100000418,23,166763,1,1,1,1,1,3,standard
100000419,31,175530,1,1,1,2,1,3,standard
100000420,33,112422,1,1,1,1,1,3,standard
100000421,20,154134,1,1,1,1,2,3,standard
100000422,30,112401,0,0,0,1,1,2,career-focused
100000423,47,85690,0,0,1,0,0,1,fewer-opportunities
100000424,34,145896,0,0,1,2,2,2,career-focused
100000425,25,122552,1,1,1,1,2,3,standard
100000426,21,115494,0,1,1,1,2,2,career-focused
100000427,29,109467,0,0,0,1,0,1,fewer-opportunities
100000428,46,148226,0,0,1,1,2,2,career-focused
100000429,20,88559,0,0,0,1,1,2,career-focused
100000430,55,62393,1,1,2,0,0,3,standard
100000431,74,122133,0,0,2,0,0,0,well-off
100000432,29,230883,0,0,0,2,2,2,career-focused
100000433,36,136689,0,0,1,2,2,2,career-focused
100000434,33,109145,0,1,1,1,0,3,standard
100000435,25,100449,0,0,0,1,2,2,career-focused
100000436,25,106253,0,1,1,1,0,3,standard
100000437,23,84747,0,1,1,0,0,3,standard
100000438,37,149465,1,1,1,1,1,3,standard
100000439,65,84435,0,0,2,0,0,1,fewer-opportunities
100000440,26,51681,1,1,1,0,0,3,standard
100000441,39,139198,0,0,1,2,1,2,career-focused
100000442,30,106577,1,1,1,1,1,3,standard
100000443,29,117372,0,0,0,1,2,2,career-focused
100000444,41,69609,0,0,1,0,0,1,fewer-opportunities
100000445,30,178947,1,1,1,2,2,2,career-focused
100000446,41,81743,1,1,2,0,0,3,standard
100000447,34,111900,1,1,1,1,1,3,standard
100000448,35,121650,0,0,1,1,0,1,fewer-opportunities
100000449,55,172639,1,1,2,2,2,0,well-off
100000450,61,175740,0,1,2,1,1,0,well-off
100000451,30,220050,0,0,0,2,2,2,career-focused
100000452,29,95200,1,1,1,1,1,3,standard
100000453,34,113609,0,0,1,1,1,2,career-focused
100000454,35,143552,0,0,1,2,2,2,career-focused
100000455,31,130973,0,0,0,1,2,2,career-focused
100000456,29,145946,1,1,1,2,2,2,career-focused
100000457,36,126206,0,0,1,1,1,2,career-focused
100000458,35,120426,0,0,1,1,0,1,fewer-opportunities
100000459,27,91925,1,1,1,1,2,3,standard
100000460,32,129630,0,0,0,1,2,2,career-focused
100000461,37,124268,0,0,1,1,2,2,career-focused
100000462,36,105240,0,0,1,1,1,2,career-focused
100000463,34,162180,1,1,1,2,0,3,standard
100000464,38,106552,0,0,1,1,2,2,career-focused
100000465,34,105843,0,0,1,1,2,2,career-focused
100000466,63,138327,0,0,2,1,1,0,well-off
100000467,29,76154,1,1,1,0,0,3,standard
100000468,32,155012,0,0,0,1,1,2,career-focused
100000469,26,114369,1,1,1,1,1,3,standard
100000470,35,102839,0,0,1,0,0,1,fewer-opportunities
100000471,22,132796,0,1,1,1,0,3,standard
100000472,23,89742,1,1,1,1,2,3,standard
100000473,28,58615,0,0,0,0,0,1,fewer-opportunities
100000474,36,130603,0,0,1,2,2,2,career-focused
100000475,33,110340,0,1,1,1,0,3,standard
100000476,26,117729,1,1,1,1,2,3,standard
100000477,24,130808,0,0,0,1,0,1,fewer-opportunities
100000478,25,147402,0,0,0,1,2,2,career-focused
100000479,39,93567,0,0,1,0,0,1,fewer-opportunities
100000480,44,109289,0,0,1,1,1,2,career-focused
100000481,23,98742,1,1,1,0,0,3,standard
100000482,26,101270,0,0,0,1,0,1,fewer-opportunities
100000483,57,187835,1,1,2,1,1,0,well-off
100000484,30,140741,1,1,1,1,0,3,standard
100000485,44,133265,0,0,1,1,2,2,career-focused
100000486,47,148100,0,0,1,2,2,2,career-focused
100000487,52,131021,0,0,1,1,2,2,career-focused
100000488,62,152620,1,1,2,1,2,0,well-off
100000489,35,85033,0,0,1,0,0,1,fewer-opportunities
100000490,26,114514,0,0,0,1,1,2,career-focused
100000491,26,99307,0,0,0,1,1,2,career-focused
100000492,42,219451,1,1,2,2,2,0,well-off
100000493,27,114007,1,1,1,1,0,3,standard
100000494,38,102846,0,0,1,1,0,1,fewer-opportunities
100000495,39,81483,0,0,1,0,0,1,fewer-opportunities
100000496,20,107779,0,1,1,1,2,2,career-focused
100000497,29,222360,0,0,0,2,2,2,career-focused
